Parcel ID,Assessment Year,Total Assessed Value,Land Assessed Value,Building Assessed Value,Data Source,Assessment Date,Tax Year
4-75,2020,455900.0,138000.0,317400.0,NHDRA,2020-01-01,2020
4-76,2022,370800.0,136500.0,234000.0,City Parcel Master,2022-01-01,2022
4-76,2020,370900.0,136600.0,234000.0,NHDRA,2020-01-01,2020
4-77,2022,1510500.0,984400.0,500900.0,City Parcel Master,2022-01-01,2022
4-77,2020,1510500.0,984400.0,500900.0,NHDRA,2020-01-01,2020
4-79,2022,18400.0,18400.0,0.0,City Parcel Master,2022-01-01,2022
4-79,2020,18400.0,18400.0,0.0,NHDRA,2020-01-01,2020
4-80,2022,252700.0,87400.0,165300.0,City Parcel Master,2022-01-01,2022
4-80,2020,252700.0,87400.0,165300.0,NHDRA,2020-01-01,2020
4-81,2022,362200.0,86000.0,264300.0,City Parcel Master,2022-01-01,2022
4-81,2020,389300.0,86000.0,291400.0,NHDRA,2020-01-01,2020
4-82,2022,290200.0,87800.0,202400.0,City Parcel Master,2022-01-01,2022
4-82,2020,290300.0,87900.0,202400.0,NHDRA,2020-01-01,2020
4-83,2022,342600.0,89200.0,253400.0,City Parcel Master,2022-01-01,2022
4-83,2020,507600.0,89200.0,418400.0,NHDRA,2020-01-01,2020
4-84,2022,117100.0,117100.0,0.0,City Parcel Master,2022-01-01,2022
4-84,2020,134400.0,134400.0,0.0,NHDRA,2020-01-01,2020
4-85,2022,430400.0,140400.0,290000.0,City Parcel Master,2022-01-01,2022
4-85,2020,440600.0,140400.0,300200.0,NHDRA,2020-01-01,2020
4-86,2022,418300.0,142700.0,275600.0,City Parcel Master,2022-01-01,2022
4-86,2020,424700.0,142700.0,282000.0,NHDRA,2020-01-01,2020
4-87,2022,506300.0,144300.0,361200.0,City Parcel Master,2022-01-01,2022
4-87,2020,477300.0,144300.0,332200.0,NHDRA,2020-01-01,2020
4-88,2022,457400.0,136600.0,320800.0,City Parcel Master,2022-01-01,2022
